,city,colleges,colleges_count,state_code,city_state
33,Arkadelphia,"['Henderson State University', 'Ouachita Baptist University']",2,AR,"Arkadelphia, AR"
34,Conway,"['Central Baptist College', 'Hendrix College', 'University of Central Arkansas']",3,AR,"Conway, AR"
35,Fayetteville,['University of Arkansas'],1,AR,"Fayetteville, AR"
36,Fort Smith,"['University of Arkansas at Fort Smith', 'Webster University', 'John Brown University', 'Arkansas College of Osteopathic Medicine']",4,AR,"Fort Smith, AR"
37,Jonesboro,['Arkansas State University'],1,AR,"Jonesboro, AR"
38,Little Rock,"['University of Arkansas at Little Rock', 'University of Arkansas for Medical Sciences', 'Philander Smith College', 'Arkansas Baptist College']",4,AR,"Little Rock, AR"
39,Magnolia,['Southern Arkansas University'],1,AR,"Magnolia, AR"
40,Monticello,['University of Arkansas at Monticello'],1,AR,"Monticello, AR"
41,Russellville,['Arkansas Tech University'],1,AR,"Russellville, AR"
42,Searcy,['Harding University'],1,AR,"Searcy, AR"
43,Anaheim,"['Anaheim University', 'Bristol University']",2,CA,"Anaheim, CA"
44,Angwin,['Pacific Union College'],1,CA,"Angwin, CA"
45,Arcata,['Humboldt State University'],1,CA,"Arcata, CA"
46,Azusa,[],0,CA,"Azusa, CA"
47,Berkeley,"['University of California, Berkeley']",1,CA,"Berkeley, CA"
48,Camarillo,['California State University Channel Islands'],1,CA,"Camarillo, CA"
49,Carson,"['California State University, Dominguez Hills']",1,CA,"Carson, CA"
50,Chico,"['California State University, Chico', 'Cal Northern School of Law']",2,CA,"Chico, CA"
51,Claremont,"['Claremont McKenna College', 'Pomona College', 'Harvey Mudd College', 'Scripps College', 'Pitzer College', 'Keck Graduate Institute', 'Claremont Graduate University']",7,CA,"Claremont, CA"
52,Costa Mesa,"['Orange Coast College', 'Vanguard University', 'Whittier Law School', 'Whittier College', 'National University']",5,CA,"Costa Mesa, CA"
53,Cotati,"['California State University, Sonoma']",1,CA,"Cotati, CA"
54,Davis,"['University of California, Davis']",1,CA,"Davis, CA"
55,Fresno,"['Alliant International University', 'California Christian College', 'California State University, Fresno', 'Fresno Pacific University', 'Kaplan College', 'National University', 'University of California, San Francisco', 'University of California, Merced', 'University of Phoenix', 'citation needed']",10,CA,"Fresno, CA"
56,Fullerton,"['California State University, Fullerton', 'Western State College of Law at Argosy University', 'Hope International University', 'Marshall B. Ketchum University', 'Fullerton College']",5,CA,"Fullerton, CA"
57,Irvine,"['University of California, Irvine', 'Western State College of Law at Argosy University']",2,CA,"Irvine, CA"
58,Isla Vista,"['University of California, Santa Barbara']",1,CA,"Isla Vista, CA"
59,Lancaster,"['University of Antelope Valley', 'Antelope Valley College', 'California State University, Bakersfield', 'Charter College']",4,CA,"Lancaster, CA"
60,La Verne,['University of La Verne'],1,CA,"La Verne, CA"
61,Loma Linda,['Loma Linda University'],1,CA,"Loma Linda, CA"
62,Long Beach,"['California State University, Long Beach', 'Pacific Coast University School of Law']",2,CA,"Long Beach, CA"
63,Malibu,['Pepperdine University'],1,CA,"Malibu, CA"
64,Merced,"['University of California, Merced', 'Merced College']",2,CA,"Merced, CA"
65,Orange,['Chapman University'],1,CA,"Orange, CA"
66,Oxnard,"['Oxnard College', 'California Lutheran University', 'California State University, Northridge', 'ITT', 'University of Phoenix', 'University of California, Santa Barbara']",6,CA,"Oxnard, CA"
67,Palo Alto,['Stanford University'],1,CA,"Palo Alto, CA"
68,Pasadena,"['California Institute of Technology', 'Pasadena City College', 'Pacific Oaks College']",3,CA,"Pasadena, CA"
69,Pleasant Hill,"['John F. Kennedy University', 'citation needed']",2,CA,"Pleasant Hill, CA"
70,Pomona,"['Cal Poly Pomona', 'Western University of Health Sciences', 'Pomona College']",3,CA,"Pomona, CA"
71,Redding,"['Simpson University', 'National University', 'Shasta Bible College and Graduate School', 'California State University, Chico']",4,CA,"Redding, CA"
72,Redlands,['University of Redlands'],1,CA,"Redlands, CA"
73,Riverside,"['University of California, Riverside', 'California Baptist University', 'La Sierra University', 'California Southern Law School']",4,CA,"Riverside, CA"
74,Rocklin,"['Sierra College', 'William Jessup University']",2,CA,"Rocklin, CA"
75,Sacramento,"['East Sacramento', 'California State University, Sacramento', 'Lincoln Law School of Sacramento', 'Oak Park', 'University of the Pacific, McGeorge School of Law']",5,CA,"Sacramento, CA"
76,San Bernardino,"['California State University, San Bernardino', 'American Sports University']",2,CA,"San Bernardino, CA"
77,San Diego,"['San Diego State University', 'California Western School of Law', 'Thomas Jefferson School of Law', 'University of San Diego', 'Western Sierra Law School', 'La Jolla', 'University of California, San Diego']",7,CA,"San Diego, CA"
78,San Luis Obispo,['California Polytechnic State University'],1,CA,"San Luis Obispo, CA"
79,San Marcos,"['California State University San Marcos', 'University of St. Augustine for Health Sciences']",2,CA,"San Marcos, CA"
80,Santa Barbara,"['Fielding Graduate University', 'Santa Barbara City College', 'University of California, Santa Barbara', 'Westmont College', 'Santa Barbara College of Law', 'Southern California Institute of Law']",6,CA,"Santa Barbara, CA"
81,Santa Clara,['Santa Clara University'],1,CA,"Santa Clara, CA"
82,Santa Cruz,"['University of California, Santa Cruz']",1,CA,"Santa Cruz, CA"
83,Santa Monica,['Santa Monica College'],1,CA,"Santa Monica, CA"
84,Seaside,"['Monterey College of Law', 'California State University, Monterey Bay']",2,CA,"Seaside, CA"
85,Stanford,['Stanford University'],1,CA,"Stanford, CA"
86,Stockton,"['University of the Pacific', 'Humphreys College']",2,CA,"Stockton, CA"
87,Temecula,[],0,CA,"Temecula, CA"
88,Turlock,"['California State University, Stanislaus']",1,CA,"Turlock, CA"
89,Vallejo,"['California Maritime Academy', 'Touro University California College of Osteopathic Medicine', 'citation needed']",3,CA,"Vallejo, CA"
90,West Covina,[],0,CA,"West Covina, CA"
91,Whittier,"['Whittier College', 'Rio Hondo College']",2,CA,"Whittier, CA"
92,Alamosa,['Adams State College'],1,CO,"Alamosa, CO"
